osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
2674970,218,1990080,"Camilo Ponce Enríquez",A,,1990080,camilo.ponce.enriquez,EC-A-CamiloPonceEnriquez,,"{""area_sr"": 0.05237, ""area_km2"": 644, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.4, ""side_estim_deg"": 0.2289, ""elongation_factor"": 2.33}"
107291,218,768756,Chordeleg,A,,768756,chordeleg,EC-A-Chordeleg,,"{""area_sr"": 0.00858, ""area_km2"": 105, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.3, ""side_estim_deg"": 0.0926, ""elongation_factor"": 1.96}"
107724,218,54886,Cuenca,A,,54886,cuenca,EC-A-Cuenca,,"{""area_sr"": 0.24856, ""area_km2"": 3056, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 55.3, ""side_estim_deg"": 0.4986, ""elongation_factor"": 2}"
107286,218,2449110,"El Pan",A,,2449110,el.pan,EC-A-ElPan,,"{""area_sr"": 0.0108, ""area_km2"": 133, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.5, ""side_estim_deg"": 0.1039, ""elongation_factor"": 2.03}"
107303,218,2466073,Girón,A,,2466073,giron,EC-A-Giron,,"{""area_sr"": 0.02858, ""area_km2"": 351, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.7, ""side_estim_deg"": 0.1691, ""elongation_factor"": 2.43}"
107287,218,2449066,Guachapala,A,,2449066,guachapala,EC-A-Guachapala,,"{""area_sr"": 0.00326, ""area_km2"": 40, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 6.3, ""side_estim_deg"": 0.0571, ""elongation_factor"": 2.41}"
107289,218,2466629,Gualaceo,A,,2466629,gualaceo,EC-A-Gualaceo,,"{""area_sr"": 0.02869, ""area_km2"": 353, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.8, ""side_estim_deg"": 0.1694, ""elongation_factor"": 2.62}"
107296,218,2449094,Nabón,A,,2449094,nabon,EC-A-Nabon,,"{""area_sr"": 0.05138, ""area_km2"": 631, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.1, ""side_estim_deg"": 0.2267, ""elongation_factor"": 2.28}"
107299,218,2466440,Oña,A,,2466440,ona,EC-A-Ona,,"{""area_sr"": 0.02373, ""area_km2"": 292, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.154, ""elongation_factor"": 2.46}"
107288,218,2449101,Paute,A,,2449101,paute,EC-A-Paute,,"{""area_sr"": 0.02174, ""area_km2"": 267, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.3, ""side_estim_deg"": 0.1474, ""elongation_factor"": 2.56}"
107362,218,2449080,Pucará,A,,2449080,pucara,EC-A-Pucara,,"{""area_sr"": 0.04768, ""area_km2"": 586, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.2, ""side_estim_deg"": 0.2184, ""elongation_factor"": 1.69}"
107347,218,2449055,"San Fernando",A,,2449055,san.fernando,EC-A-SanFernando,,"{""area_sr"": 0.01117, ""area_km2"": 137, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.7, ""side_estim_deg"": 0.1057, ""elongation_factor"": 1.75}"
107343,218,2466558,"Santa Isabel",A,,2466558,santa.isabel,EC-A-SantaIsabel,,"{""area_sr"": 0.04909, ""area_km2"": 603, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.6, ""side_estim_deg"": 0.2216, ""elongation_factor"": 2.11}"
107275,218,1014499,"Sevilla de Oro",A,,1014499,sevilla.oro,EC-A-SevillaOro,,"{""area_sr"": 0.02545, ""area_km2"": 313, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.7, ""side_estim_deg"": 0.1595, ""elongation_factor"": 2.57}"
107292,218,2466113,Sigsig,A,,2466113,sigsig,EC-A-Sigsig,,"{""area_sr"": 0.05363, ""area_km2"": 659, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.7, ""side_estim_deg"": 0.2316, ""elongation_factor"": 1.81}"
