osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
109459,218,2466508,"Alfredo Baquerizo Moreno",G,,2466508,alfredo.baquerizo.moreno,EC-G-AlfredoBaquerizoMoreno,,"{""area_sr"": 0.01798, ""area_km2"": 221, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.9, ""side_estim_deg"": 0.1341, ""elongation_factor"": 1.62}"
109445,218,1990431,Balao,G,,1990431,balao,EC-G-Balao,,"{""area_sr"": 0.03375, ""area_km2"": 415, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.4, ""side_estim_deg"": 0.1837, ""elongation_factor"": 1.85}"
109449,218,1989901,Balzar,G,,1989901,balzar,EC-G-Balzar,,"{""area_sr"": 0.09624, ""area_km2"": 1184, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34.4, ""side_estim_deg"": 0.3102, ""elongation_factor"": 2.96}"
109464,218,1990070,"Cantón Colimes",G,,1990070,canton.colimes,EC-G-CantonColimes,,"{""area_sr"": 0.0628, ""area_km2"": 773, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 27.8, ""side_estim_deg"": 0.2506, ""elongation_factor"": 2.37}"
109457,218,1990118,"Cantón General Antonio Elizalde",G,,1990118,"canton.general.antonio.e
lizalde",EC-G-CantonGeneralAntonioElizalde,,"{""area_sr"": 0.01235, ""area_km2"": 152, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.3, ""side_estim_deg"": 0.1111, ""elongation_factor"": 2.23}"
1768491,218,1990179,"Cantón Isidro Ayora",G,,1990179,canton.isidro.ayora,EC-G-CantonIsidroAyora,,"{""area_sr"": 0.04002, ""area_km2"": 492, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 22.2, ""side_estim_deg"": 0.2001, ""elongation_factor"": 2.33}"
109461,218,1990032,"Cantón Lomas de Sargentillo",G,,1990032,canton.lomas.sargentillo,EC-G-CantonLomasSargentillo,,"{""area_sr"": 0.00531, ""area_km2"": 65, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 8.1, ""side_estim_deg"": 0.0729, ""elongation_factor"": 2.45}"
109456,218,1989893,"Coronel Marcelino Maridueña",G,,1989893,coronel.marcelino.mariduena,EC-G-CoronelMarcelinoMariduena,,"{""area_sr"": 0.01458, ""area_km2"": 179, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.4, ""side_estim_deg"": 0.1207, ""elongation_factor"": 2.77}"
109447,218,1990162,Daule,G,,1990162,daule,EC-G-Daule,,"{""area_sr"": 0.04328, ""area_km2"": 532, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.1, ""side_estim_deg"": 0.208, ""elongation_factor"": 2.23}"
109455,218,2051891,Durán,G,,2051891,duran,EC-G-Duran,,"{""area_sr"": 0.02793, ""area_km2"": 344, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.5, ""side_estim_deg"": 0.1671, ""elongation_factor"": 1.71}"
109453,218,607595,"El Empalme",G,,607595,el.empalme,EC-G-ElEmpalme,,"{""area_sr"": 0.05955, ""area_km2"": 733, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 27.1, ""side_estim_deg"": 0.244, ""elongation_factor"": 2.29}"
285105,218,1989937,"El Triunfo",G,,1989937,el.triunfo,EC-G-ElTriunfo,,"{""area_sr"": 0.03832, ""area_km2"": 471, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.7, ""side_estim_deg"": 0.1957, ""elongation_factor"": 3.01}"
109443,218,1991935,Guayaquil,G,,1991935,guayaquil,EC-G-Guayaquil,,"{""area_sr"": 0.49399, ""area_km2"": 6075, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 77.9, ""side_estim_deg"": 0.7028, ""elongation_factor"": 2.1}"
109450,218,1990014,Milagro,G,,1990014,milagro,EC-G-Milagro,,"{""area_sr"": 0.03277, ""area_km2"": 403, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.1, ""side_estim_deg"": 0.181, ""elongation_factor"": 1.94}"
965884,218,259147,Naranjal,G,,259147,naranjal,EC-G-Naranjal,,"{""area_sr"": 0.14024, ""area_km2"": 1725, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 41.5, ""side_estim_deg"": 0.3745, ""elongation_factor"": 3.23}"
109454,218,1990400,Naranjito,G,,1990400,naranjito,EC-G-Naranjito,,"{""area_sr"": 0.0182, ""area_km2"": 224, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15, ""side_estim_deg"": 0.1349, ""elongation_factor"": 2.2}"
109460,218,2466465,Nobol,G,,2466465,nobol,EC-G-Nobol,,"{""area_sr"": 0.0116, ""area_km2"": 143, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.9, ""side_estim_deg"": 0.1077, ""elongation_factor"": 2.49}"
109465,218,1990111,Palestina,G,,1990111,palestina,EC-G-Palestina,,"{""area_sr"": 0.0156, ""area_km2"": 192, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 13.9, ""side_estim_deg"": 0.1249, ""elongation_factor"": 2.02}"
109463,218,1990023,"Pedro Carbo",G,,1990023,pedro.carbo,EC-G-PedroCarbo,,"{""area_sr"": 0.07635, ""area_km2"": 939, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 30.6, ""side_estim_deg"": 0.2763, ""elongation_factor"": 2.19}"
109442,218,1990392,Playas,G,,1990392,playas,EC-G-Playas,,"{""area_sr"": 0.02241, ""area_km2"": 276, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.6, ""side_estim_deg"": 0.1497, ""elongation_factor"": 2.43}"
109452,218,1990368,Salitre,G,,1990368,salitre,EC-G-Salitre,,"{""area_sr"": 0.03213, ""area_km2"": 395, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.9, ""side_estim_deg"": 0.1792, ""elongation_factor"": 2.32}"
