osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
108862,218,2448841,Alausí,H,,2448841,alausi,EC-H-Alausi,,"{""area_sr"": 0.13439, ""area_km2"": 1653, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 40.7, ""side_estim_deg"": 0.3666, ""elongation_factor"": 2.65}"
108866,218,2448802,"Cantón Chambo",H,,2448802,canton.chambo,EC-H-CantonChambo,,"{""area_sr"": 0.0132, ""area_km2"": 162, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.7, ""side_estim_deg"": 0.1149, ""elongation_factor"": 1.86}"
108861,218,2448719,"Cantón Cumanda",H,,2448719,canton.cumanda,EC-H-CantonCumanda,,"{""area_sr"": 0.01303, ""area_km2"": 160, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.7, ""side_estim_deg"": 0.1141, ""elongation_factor"": 2.6}"
2675164,218,2448780,"Cantón Penipe",H,,2448780,canton.penipe,EC-H-CantonPenipe,,"{""area_sr"": 0.02975, ""area_km2"": 366, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.1, ""side_estim_deg"": 0.1725, ""elongation_factor"": 1.5}"
108859,218,2448829,Chunchi,H,,2448829,chunchi,EC-H-Chunchi,,"{""area_sr"": 0.02237, ""area_km2"": 275, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.6, ""side_estim_deg"": 0.1496, ""elongation_factor"": 1.95}"
108865,218,662249,Colta,H,,662249,colta,EC-H-Colta,,"{""area_sr"": 0.0681, ""area_km2"": 838, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 28.9, ""side_estim_deg"": 0.261, ""elongation_factor"": 1.81}"
108864,218,2448699,Guamote,H,,2448699,guamote,EC-H-Guamote,,"{""area_sr"": 0.09912, ""area_km2"": 1219, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34.9, ""side_estim_deg"": 0.3148, ""elongation_factor"": 2.12}"
108868,218,2448847,Guano,H,,2448847,guano,EC-H-Guano,,"{""area_sr"": 0.03742, ""area_km2"": 460, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.5, ""side_estim_deg"": 0.1935, ""elongation_factor"": 2.02}"
108863,218,930902,Pallatanga,H,,930902,pallatanga,EC-H-Pallatanga,,"{""area_sr"": 0.03088, ""area_km2"": 380, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.5, ""side_estim_deg"": 0.1757, ""elongation_factor"": 1.49}"
108867,218,2448899,Riobamba,H,,2448899,riobamba,EC-H-Riobamba,,"{""area_sr"": 0.07978, ""area_km2"": 982, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.3, ""side_estim_deg"": 0.2825, ""elongation_factor"": 3.56}"
