osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
108119,218,1989880,"Cantón Calvas",L,,1989880,canton.calvas,EC-L-CantonCalvas,,"{""area_sr"": 0.06993, ""area_km2"": 858, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29.3, ""side_estim_deg"": 0.2644, ""elongation_factor"": 1.86}"
108205,218,1989999,"Cantón Chaguarpamba",L,,1989999,canton.chaguarpamba,EC-L-CantonChaguarpamba,,"{""area_sr"": 0.0255, ""area_km2"": 313, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.7, ""side_estim_deg"": 0.1597, ""elongation_factor"": 1.92}"
108120,218,1989947,"Cantón Espindola",L,,1989947,canton.espindola,EC-L-CantonEspindola,,"{""area_sr"": 0.04205, ""area_km2"": 516, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 22.7, ""side_estim_deg"": 0.2051, ""elongation_factor"": 1.72}"
108296,218,628740,"Cantón Gonzanama",L,,628740,canton.gonzanama,EC-L-CantonGonzanama,,"{""area_sr"": 0.05544, ""area_km2"": 681, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 26.1, ""side_estim_deg"": 0.2355, ""elongation_factor"": 1.52}"
108121,218,627330,"Cantón Quilanga",L,,627330,canton.quilanga,EC-L-CantonQuilanga,,"{""area_sr"": 0.01925, ""area_km2"": 236, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.4, ""side_estim_deg"": 0.1388, ""elongation_factor"": 2.04}"
108298,218,1990045,"Cantón Saraguro",L,,1990045,canton.saraguro,EC-L-CantonSaraguro,,"{""area_sr"": 0.08774, ""area_km2"": 1078, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 32.8, ""side_estim_deg"": 0.2962, ""elongation_factor"": 2.01}"
108271,218,1989912,Catamayo,L,,1989912,catamayo,EC-L-Catamayo,,"{""area_sr"": 0.05312, ""area_km2"": 652, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.5, ""side_estim_deg"": 0.2305, ""elongation_factor"": 2.44}"
108103,218,1989929,Celica,L,,1989929,celica,EC-L-Celica,,"{""area_sr"": 0.04251, ""area_km2"": 522, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 22.8, ""side_estim_deg"": 0.2062, ""elongation_factor"": 2.47}"
108289,218,1158141,Loja,L,,1158141,loja,EC-L-Loja,,"{""area_sr"": 0.1536, ""area_km2"": 1886, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 43.4, ""side_estim_deg"": 0.3919, ""elongation_factor"": 2.8}"
108104,218,1990022,Macará,L,,1990022,macara,EC-L-Macara,,"{""area_sr"": 0.04715, ""area_km2"": 579, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.1, ""side_estim_deg"": 0.2171, ""elongation_factor"": 2.2}"
108265,218,1989972,Olmedo,L,,1989972,olmedo,EC-L-Olmedo,,"{""area_sr"": 0.00924, ""area_km2"": 113, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.7, ""side_estim_deg"": 0.0961, ""elongation_factor"": 1.96}"
108209,218,1990006,Paltas,L,,1990006,paltas,EC-L-Paltas,,"{""area_sr"": 0.09403, ""area_km2"": 1155, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34, ""side_estim_deg"": 0.3066, ""elongation_factor"": 2.14}"
108105,218,1989956,Pindal,L,,1989956,pindal,EC-L-Pindal,,"{""area_sr"": 0.01658, ""area_km2"": 204, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 14.3, ""side_estim_deg"": 0.1287, ""elongation_factor"": 2.47}"
108075,218,1989981,Puyango,L,,1989981,puyango,EC-L-Puyango,,"{""area_sr"": 0.05195, ""area_km2"": 638, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.3, ""side_estim_deg"": 0.2279, ""elongation_factor"": 2.31}"
108118,218,1990061,Sozoranga,L,,1990061,sozoranga,EC-L-Sozoranga,,"{""area_sr"": 0.03344, ""area_km2"": 411, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 20.3, ""side_estim_deg"": 0.1829, ""elongation_factor"": 2.42}"
108087,218,948227,Zapotillo,L,,948227,zapotillo,EC-L-Zapotillo,,"{""area_sr"": 0.09877, ""area_km2"": 1213, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34.8, ""side_estim_deg"": 0.3143, ""elongation_factor"": 2.71}"
