osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
112892,218,1992944,"24 de Mayo",M,,1992944,24.mayo,EC-M-24Mayo,,"{""area_sr"": 0.04315, ""area_km2"": 531, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23, ""side_estim_deg"": 0.2077, ""elongation_factor"": 2.16}"
112900,218,1992892,Bolívar,M,,1992892,bolivar,EC-M-Bolivar,,"{""area_sr"": 0.04375, ""area_km2"": 538, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.2, ""side_estim_deg"": 0.2092, ""elongation_factor"": 2.45}"
112899,218,1992882,"Cantón Junín",M,,1992882,canton.junin,EC-M-CantonJunin,,"{""area_sr"": 0.02055, ""area_km2"": 253, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 15.9, ""side_estim_deg"": 0.1434, ""elongation_factor"": 1.95}"
112904,218,1992996,Chone,M,,1992996,chone,EC-M-Chone,,"{""area_sr"": 0.25002, ""area_km2"": 3077, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 55.5, ""side_estim_deg"": 0.5, ""elongation_factor"": 3.51}"
112906,218,1992905,"El Carmen",M,,1992905,el.carmen,EC-M-ElCarmen,,"{""area_sr"": 0.14152, ""area_km2"": 1742, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 41.7, ""side_estim_deg"": 0.3762, ""elongation_factor"": 2.79}"
112909,218,931546,"Flavio Alfaro",M,,931546,flavio.alfaro,EC-M-FlavioAlfaro,,"{""area_sr"": 0.10928, ""area_km2"": 1345, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 36.7, ""side_estim_deg"": 0.3306, ""elongation_factor"": 2.28}"
286820,218,3656074,Jama,M,,3656074,jama,EC-M-Jama,,"{""area_sr"": 0.04595, ""area_km2"": 566, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.8, ""side_estim_deg"": 0.2144, ""elongation_factor"": 1.84}"
286801,218,959209,Jaramijó,M,,959209,jaramijo,EC-M-Jaramijo,,"{""area_sr"": 0.00838, ""area_km2"": 103, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 10.2, ""side_estim_deg"": 0.0915, ""elongation_factor"": 1.71}"
281843,218,1990149,Jipijapa,M,,1990149,jipijapa,EC-M-Jipijapa,,"{""area_sr"": 0.11906, ""area_km2"": 1465, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 38.3, ""side_estim_deg"": 0.345, ""elongation_factor"": 2.6}"
112895,218,1990138,Manta,M,,1990138,manta,EC-M-Manta,,"{""area_sr"": 0.02386, ""area_km2"": 294, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1545, ""elongation_factor"": 1.98}"
