osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
108015,218,2448877,Arenillas,O,,2448877,arenillas,EC-O-Arenillas,,"{""area_sr"": 0.06147, ""area_km2"": 755, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 27.5, ""side_estim_deg"": 0.2479, ""elongation_factor"": 2.1}"
108014,218,614857,Atahualpa,O,,614857,atahualpa,EC-O-Atahualpa,,"{""area_sr"": 0.02259, ""area_km2"": 278, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.7, ""side_estim_deg"": 0.1503, ""elongation_factor"": 2.26}"
108042,218,2448322,Balsas,O,,2448322,balsas,EC-O-Balsas,,"{""area_sr"": 0.00555, ""area_km2"": 68, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 8.3, ""side_estim_deg"": 0.0745, ""elongation_factor"": 1.89}"
107890,218,2448742,"Cantón Chilla",O,,2448742,canton.chilla,EC-O-CantonChilla,,"{""area_sr"": 0.02704, ""area_km2"": 332, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.2, ""side_estim_deg"": 0.1644, ""elongation_factor"": 1.71}"
108044,218,1989281,"Cantón Las Lajas",O,,1989281,canton.lajas,EC-O-CantonLajas,,"{""area_sr"": 0.02451, ""area_km2"": 301, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.4, ""side_estim_deg"": 0.1566, ""elongation_factor"": 1.8}"
108043,218,1988800,"Cantón Marcabelí",O,,1988800,canton.marcabeli,EC-O-CantonMarcabeli,,"{""area_sr"": 0.01217, ""area_km2"": 149, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 12.2, ""side_estim_deg"": 0.1103, ""elongation_factor"": 1.82}"
107888,218,2448730,"El Guabo",O,,2448730,el.guabo,EC-O-ElGuabo,,"{""area_sr"": 0.04965, ""area_km2"": 610, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.7, ""side_estim_deg"": 0.2228, ""elongation_factor"": 1.85}"
107900,218,940256,Huaquillas,O,,940256,huaquillas,EC-O-Huaquillas,,"{""area_sr"": 0.01039, ""area_km2"": 128, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 11.3, ""side_estim_deg"": 0.1019, ""elongation_factor"": 1.62}"
107889,218,2448795,Machala,O,,2448795,machala,EC-O-Machala,,"{""area_sr"": 0.02782, ""area_km2"": 342, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.5, ""side_estim_deg"": 0.1668, ""elongation_factor"": 1.71}"
107885,218,2448913,Pasaje,O,,2448913,pasaje,EC-O-Pasaje,,"{""area_sr"": 0.03697, ""area_km2"": 454, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 21.3, ""side_estim_deg"": 0.1923, ""elongation_factor"": 3.03}"
108041,218,740750,Piñas,O,,740750,pinas,EC-O-Pinas,,"{""area_sr"": 0.05035, ""area_km2"": 618, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.9, ""side_estim_deg"": 0.2244, ""elongation_factor"": 2.07}"
108009,218,661446,Portovelo,O,,661446,portovelo,EC-O-Portovelo,,"{""area_sr"": 0.0232, ""area_km2"": 285, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 16.9, ""side_estim_deg"": 0.1523, ""elongation_factor"": 1.99}"
107901,218,1989250,"Santa Rosa",O,,1989250,santa.rosa,EC-O-SantaRosa,,"{""area_sr"": 0.07286, ""area_km2"": 895, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29.9, ""side_estim_deg"": 0.2699, ""elongation_factor"": 3.24}"
108003,218,2448769,Zaruma,O,,2448769,zaruma,EC-O-Zaruma,,"{""area_sr"": 0.05379, ""area_km2"": 661, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.7, ""side_estim_deg"": 0.2319, ""elongation_factor"": 2.53}"
