osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
109251,218,1990086,Baba,R,,1990086,baba,EC-R-Baba,,"{""area_sr"": 0.04198, ""area_km2"": 517, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 22.7, ""side_estim_deg"": 0.2049, ""elongation_factor"": 2.85}"
109250,218,1990171,Babahoyo,R,,1990171,babahoyo,EC-R-Babahoyo,,"{""area_sr"": 0.08881, ""area_km2"": 1093, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 33.1, ""side_estim_deg"": 0.298, ""elongation_factor"": 3.23}"
3747811,218,3655954,"Buena Fe",R,,3655954,buena.fe,EC-R-BuenaFe,,"{""area_sr"": 0.04696, ""area_km2"": 578, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24, ""side_estim_deg"": 0.2167, ""elongation_factor"": 3.1}"
1776536,218,1990377,"Cantón Quinsaloma",R,,1990377,canton.quinsaloma,EC-R-CantonQuinsaloma,,"{""area_sr"": 0.02379, ""area_km2"": 293, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.1, ""side_estim_deg"": 0.1542, ""elongation_factor"": 3.06}"
109256,218,3656172,Mocache,R,,3656172,mocache,EC-R-Mocache,,"{""area_sr"": 0.04569, ""area_km2"": 562, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.7, ""side_estim_deg"": 0.2137, ""elongation_factor"": 2.3}"
109249,218,1990411,Montalvo,R,,1990411,montalvo,EC-R-Montalvo,,"{""area_sr"": 0.02949, ""area_km2"": 363, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19, ""side_estim_deg"": 0.1717, ""elongation_factor"": 2.5}"
109254,218,1990986,Palenque,R,,1990986,palenque,EC-R-Palenque,,"{""area_sr"": 0.04741, ""area_km2"": 583, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 24.2, ""side_estim_deg"": 0.2177, ""elongation_factor"": 2.38}"
109253,218,631451,Puebloviejo,R,,631451,puebloviejo,EC-R-Puebloviejo,,"{""area_sr"": 0.02734, ""area_km2"": 336, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 18.3, ""side_estim_deg"": 0.1654, ""elongation_factor"": 2.58}"
109257,218,1990421,Quevedo,R,,1990421,quevedo,EC-R-Quevedo,,"{""area_sr"": 0.02526, ""area_km2"": 311, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 17.6, ""side_estim_deg"": 0.1589, ""elongation_factor"": 2.84}"
3747812,218,781359,Urdaneta,R,,781359,urdaneta,EC-R-Urdaneta,,"{""area_sr"": 0.03075, ""area_km2"": 378, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 19.5, ""side_estim_deg"": 0.1754, ""elongation_factor"": 1.85}"
109259,218,1990386,Valencia,R,,1990386,valencia,EC-R-Valencia,,"{""area_sr"": 0.0798, ""area_km2"": 982, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 31.3, ""side_estim_deg"": 0.2825, ""elongation_factor"": 2.15}"
109258,218,931224,Ventanas,R,,931224,ventanas,EC-R-Ventanas,,"{""area_sr"": 0.04344, ""area_km2"": 535, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 23.1, ""side_estim_deg"": 0.2084, ""elongation_factor"": 3.22}"
109255,218,1707682,Vinces,R,,1707682,vinces,EC-R-Vinces,,"{""area_sr"": 0.05648, ""area_km2"": 695, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 26.4, ""side_estim_deg"": 0.2377, ""elongation_factor"": 3.08}"
