osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
108532,218,1992987,"Cantón Huamboya",S,,1992987,canton.huamboya,EC-S-CantonHuamboya,,"{""area_sr"": 0.05512, ""area_km2"": 678, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 26, ""side_estim_deg"": 0.2348, ""elongation_factor"": 1.99}"
108524,218,1992852,"Cantón Limón Indanza",S,,1992852,canton.limon.indanza,EC-S-CantonLimonIndanza,,"{""area_sr"": 0.1477, ""area_km2"": 1816, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 42.6, ""side_estim_deg"": 0.3843, ""elongation_factor"": 2.27}"
108528,218,1990553,"Cantón Logroño",S,,1990553,canton.logrono,EC-S-CantonLogrono,,"{""area_sr"": 0.09547, ""area_km2"": 1174, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34.3, ""side_estim_deg"": 0.309, ""elongation_factor"": 1.95}"
108530,218,511073,"Cantón Pablo Sexto",S,,511073,canton.pablo.sexto,EC-S-CantonPabloSexto,,"{""area_sr"": 0.1122, ""area_km2"": 1380, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 37.2, ""side_estim_deg"": 0.335, ""elongation_factor"": 2.19}"
108523,218,1990469,"Cantón San Juan Bosco",S,,1990469,canton.san.juan.bosco,EC-S-CantonSanJuanBosco,,"{""area_sr"": 0.08403, ""area_km2"": 1033, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 32.1, ""side_estim_deg"": 0.2899, ""elongation_factor"": 2.71}"
108526,218,1444202,"Cantón Santiago de Méndez",S,,1444202,canton.santiago.mendez,EC-S-CantonSantiagoMendez,,"{""area_sr"": 0.11539, ""area_km2"": 1419, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 37.7, ""side_estim_deg"": 0.3397, ""elongation_factor"": 2.55}"
3718294,218,1990580,"Cantón Taisha",S,,1990580,canton.taisha,EC-S-CantonTaisha,,"{""area_sr"": 0.49587, ""area_km2"": 6098, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 78.1, ""side_estim_deg"": 0.7042, ""elongation_factor"": 2.04}"
108525,218,1992571,"Cantón Tiwintza",S,,1992571,canton.tiwintza,EC-S-CantonTiwintza,,"{""area_sr"": 0.09598, ""area_km2"": 1180, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 34.4, ""side_estim_deg"": 0.3098, ""elongation_factor"": 2.88}"
108522,218,1990498,Gualaquiza,S,,1990498,gualaquiza,EC-S-Gualaquiza,,"{""area_sr"": 0.17993, ""area_km2"": 2211, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 47, ""side_estim_deg"": 0.4242, ""elongation_factor"": 1.56}"
108529,218,1990574,Morona,S,,1990574,morona,EC-S-Morona,,"{""area_sr"": 0.37738, ""area_km2"": 4641, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 68.1, ""side_estim_deg"": 0.6143, ""elongation_factor"": 2.72}"
108531,218,1990533,Palora,S,,1990533,palora,EC-S-Palora,,"{""area_sr"": 0.11787, ""area_km2"": 1450, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 38.1, ""side_estim_deg"": 0.3433, ""elongation_factor"": 2}"
108527,218,3656343,Sucúa,S,,3656343,sucua,EC-S-Sucua,,"{""area_sr"": 0.07247, ""area_km2"": 891, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 29.9, ""side_estim_deg"": 0.2692, ""elongation_factor"": 2.25}"
