osm_id,parent_id,jurisd_base_id,jurisd_local_id,name,name_en,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,phone_prefix,info
113721,108089,218,1123208,Santo Domingo de los Tsáchilas,Santo Domingo de los Tsáchilas Province,EC,SD,1123208,sd,EC-SD,2,
109441,108089,218,1124125,Santa Elena,Santa Elena Province,EC,SE,1124125,se,EC-SE,4,
113442,108089,218,504252,Provincia de Tungurahua,Tungurahua Province,EC,T,504252,t,EC-T,3,
114574,108089,218,499456,Sucumbíos,Sucumbíos Province,EC,U,499456,u,EC-U,6,
1628150,108089,218,475038,Galápagos,Galápagos Province,EC,W,475038,w,EC-W,4,
963072,108089,218,241140,Cotopaxi,Cotopaxi Province,EC,X,241140,x,EC-X,3,
113869,108089,218,214814,Pastaza,Pastaza Province,EC,Y,214814,y,EC-Y,3,
108326,108089,218,744670,Zamora Chinchipe,Zamora Chinchipe,EC,Z,744670,z,EC-Z,7,
107886,108089,218,220451,Azuay,Azuay Province,EC,A,220451,a,EC-A,7,
108899,108089,218,261165,Bolívar,Bolívar Province,EC,B,261165,b,EC-B,3,
114048,108089,218,321729,Carchi,Carchi Province,EC,C,321729,c,EC-C,6,
114245,108089,218,499475,Orellana,Orellana Province,EC,D,499475,d,EC-D,6,
113237,108089,218,335526,Esmeraldas,Esmeraldas,EC,E,335526,e,EC-E,6,
108720,108089,218,335471,Cañar,Cañar Province,EC,F,335471,f,EC-F,7,
109468,108089,218,335464,Guayas,Guayas Province,EC,G,335464,g,EC-G,4,
108860,108089,218,238492,Chimborazo,Chimborazo Province,EC,H,238492,h,EC-H,3,
113982,108089,218,321863,Imbabura,Imbabura Province,EC,I,321863,i,EC-I,6,
108088,108089,218,504238,Loja,Loja Province,EC,L,504238,l,EC-L,7,
112910,108089,218,504666,Manabí,Manabí Province,EC,M,504666,m,EC-M,5,
114276,108089,218,211900,Napo,Napo Province,EC,N,211900,n,EC-N,6,
958681,108089,218,466019,El Oro,El Oro Province,EC,O,466019,o,EC-O,7,
113722,108089,218,272586,Pichincha,Pichincha Province,EC,P,272586,p,EC-P,2,
109248,108089,218,504260,Los Ríos,Los Ríos Province,EC,R,504260,r,EC-R,5,
108521,108089,218,549522,Morona Santiago,Morona-Santiago Province,EC,S,549522,s,EC-S,7,
