osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
108089,218,0,"República del Ecuador",INT,EC,736,ec,EC,593,"{""area_sr"": 20.72962, ""area_km2"": 255014, ""language"": ""es"", ""fat_deg_m"": 0.0000090, ""side_estim_km"": 505, ""iso3166_alpha3"": ""ECU"", ""side_estim_deg"": 4.553, ""elongation_factor"": 3.77}"
107886,218,220451,Azuay,EC,A,220451,azuay,EC-A,7,"{""area_sr"": 0.66471, ""area_km2"": 8171, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 90.4, ""side_estim_deg"": 0.8153, ""elongation_factor"": 2.45}"
108899,218,261165,Bolívar,EC,B,261165,bolivar,EC-B,3,"{""area_sr"": 0.31976, ""area_km2"": 3934, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 62.7, ""side_estim_deg"": 0.5655, ""elongation_factor"": 2.49}"
114048,218,321729,Carchi,EC,C,321729,carchi,EC-C,6,"{""area_sr"": 0.30683, ""area_km2"": 3776, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 61.5, ""side_estim_deg"": 0.5539, ""elongation_factor"": 2.59}"
108720,218,335471,Cañar,EC,F,335471,canar,EC-F,7,"{""area_sr"": 0.26083, ""area_km2"": 3207, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 56.6, ""side_estim_deg"": 0.5107, ""elongation_factor"": 2.38}"
108860,218,238492,Chimborazo,EC,H,238492,chimborazo,EC-H,3,"{""area_sr"": 0.52805, ""area_km2"": 6496, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 80.6, ""side_estim_deg"": 0.7267, ""elongation_factor"": 2.12}"
963072,218,241140,Cotopaxi,EC,X,241140,cotopaxi,EC-X,3,"{""area_sr"": 0.49462, ""area_km2"": 6088, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 78, ""side_estim_deg"": 0.7033, ""elongation_factor"": 1.73}"
958681,218,466019,"El Oro",EC,O,466019,el.oro,EC-O,7,"{""area_sr"": 0.48196, ""area_km2"": 5922, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 77, ""side_estim_deg"": 0.6942, ""elongation_factor"": 2.09}"
113237,218,335526,Esmeraldas,EC,E,335526,esmeraldas,EC-E,6,"{""area_sr"": 1.29323, ""area_km2"": 15917, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 126.2, ""side_estim_deg"": 1.1372, ""elongation_factor"": 2.06}"
1628150,218,475038,Galápagos,EC,W,475038,galapagos,EC-W,4,"{""area_sr"": 6.34296, ""area_km2"": 78069, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 279.4, ""side_estim_deg"": 2.5185, ""elongation_factor"": 1.07}"
109468,218,335464,Guayas,EC,G,335464,guayas,EC-G,4,"{""area_sr"": 1.45078, ""area_km2"": 17845, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 133.6, ""side_estim_deg"": 1.2045, ""elongation_factor"": 2.86}"
